Pair,Subject,Condition(individual-pre/hidden/visible/individual-post),Block,Trial,StimulusType,TargetSize(small/large),TargetPosition(center/margin),ObstaclePresence(absent/present),Error(yes/no),TT,AUC,Asynchrony
1,1,3,3,11,121,1,2,1,0,0.36105,215.19,0.1211
1,1,3,3,12,120,1,2,0,0,0.26091,34.694,0.10063
1,1,3,3,13,111,1,1,1,0,0.35117,191.48,0.060431
1,1,3,3,14,111,1,1,1,0,0.30117,153.71,0.43219
1,1,3,3,15,110,1,1,0,0,0.28108,4.4061,0.019888
1,1,3,3,16,221,2,2,1,0,0.27117,159.82,0.090255
1,1,3,4,1,220,2,2,0,1,0.82283,0,0.51157
1,1,3,4,2,111,1,1,1,0,0.58222,230.74,0.19049
1,1,3,4,3,221,2,2,1,0,0.27118,263.51,0.090661
1,1,3,4,4,120,1,2,0,0,0.53212,0.31421,0.24095
1,1,3,4,5,110,1,1,0,1,0.53241,0,0.23118
1,1,3,4,6,111,1,1,1,0,0.51181,274.23,0.12017
1,1,3,4,7,121,1,2,1,0,0.43176,212.98,0.019962
1,1,3,4,8,221,2,2,1,0,0.47186,312.64,0.010057
1,1,3,4,9,210,2,1,0,0,0.3917,51.141,0.090318
1,1,3,4,10,110,1,1,0,0,0.35144,15.752,0.030076
1,1,3,4,11,120,1,2,0,0,0.3115,11.286,0.030195
1,1,3,4,12,121,1,2,1,0,0.31129,203.23,0.040275
1,1,3,4,13,210,2,1,0,0,0.44184,6.7641,0.080155
1,1,3,4,14,211,2,1,1,0,0.56217,264.17,0.1005
1,1,3,4,15,211,2,1,1,0,0.39195,152.18,0.10994
1,1,3,4,16,220,2,2,0,0,0.36138,37.936,0.050223
1,1,3,5,1,211,2,1,1,0,0.58218,262.59,0.15045
1,1,3,5,2,111,1,1,1,0,0.37145,151.57,0.010271
1,1,3,5,3,121,1,2,1,0,0.38127,241.35,0.00043809
1,1,3,5,4,221,2,2,1,0,0.35129,241.57,0.060435
1,1,3,5,5,110,1,1,0,0,0.30098,14.443,0.00035862
1,1,3,5,6,211,2,1,1,0,0.37137,210.53,0.050848
1,1,3,5,7,121,1,2,1,0,0.3713,225.74,0.010412
1,1,3,5,8,120,1,2,0,0,0.34128,31.125,0.03001
1,1,3,5,9,210,2,1,0,0,0.31135,18.544,0.040193
